,rel,end_entity
0,capableof,act_like_child
1,capableof,dress_herself
2,capableof,dress_himself
3,capableof,drink_beer
4,capableof,drive_car
5,capableof,drive_train
6,capableof,explain_rules_to_child
7,capableof,feed_and_take_care_of_itself
8,capableof,gift_knowledge_to_child
9,capableof,hand_toy_to_child
10,capableof,help_child
11,capableof,keep_property
12,capableof,lead_child_by_hand
13,capableof,learn_to_mend_ways
14,capableof,marry
15,capableof,read_to_child
16,capableof,remember_childhood
17,capableof,settle_childrens_argument
18,capableof,sign_contract
19,capableof,sign_form
20,capableof,sleep_for_average_of_hours
21,capableof,use_lawn_mower
22,capableof,wait_to_go_to_bathroom
23,capableof,work
24,distinctfrom,child
25,distinctfrom,youth
26,_distinctfrom,baby
27,_distinctfrom,children
28,_distinctfrom,kid
29,hascontext,nonstandard
30,_hascontext,play_doctor
31,_hasprerequisite,get_married
32,_hasprerequisite,procreate
33,isa,animal
34,isa,sexually_mature_thing
35,_isa,adult_beaver
36,_isa,adult_capybara
37,_isa,adult_cat
38,_isa,adult_cetacean
39,_isa,adult_chihuahua_dog
40,_isa,adult_dachshund
41,_isa,adult_domesticated_pig
42,_isa,adult_female_cow
43,_isa,adult_female_mammal
44,_isa,adult_female_potbellied_pig
45,_isa,adult_lion
46,_isa,adult_male_potbellied_pig
47,_isa,adult_ostrich
48,_isa,adult_pachyderm
49,_isa,adult_pig
50,_isa,adult_potbellied_pig
51,_isa,adult_rodent
52,_isa,adult_ruminant
53,_isa,adult_sand_dollar
54,_isa,adult_sea_urchin
55,_isa,adult_starfish
56,_isa,adult_tiger
57,_isa,adult_worker
58,_isa,bull_male_herd_animal
59,_isa,cow_female_herd_animal
60,_isa,female_adult_potbellied_pig
61,_isa,human_adult
62,_isa,imago
63,_isa,male_adult_potbellied_pig
64,_isa,office_worker
65,_isa,professional_gangster
66,_isa,researcher
