class,relations,value,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2000/01/rdf-schema#isA" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#BabyStage" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2000/01/rdf-schema#isA" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#MonthlyStage" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2000/01/rdf-schema#isA" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#Person" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#11MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#12MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#13MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#14MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#15MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#16MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#17MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#18MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#19MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#1MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#20MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#21MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#22MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#23MonthOld" ,
