,ent_h,rel,ent_t
0,Bath,help,RefusingBedtime
1,Bath,help,SleepRegression
2,BedTimeStory,help,RefusingBedtime
3,BeingBored,cause,Tantrum
4,BeingFrustrated,cause,Tantrum
5,BeingHungry,cause,SleepRegression
6,BeingSick,cause,SleepRegression
7,BeingTired,cause,Tantrum
8,BiologicalTendency,cause,SeparationAnxiety
9,ClamingChild,help,Nightmare
10,ClamingChild,help,WakingUpScreaming
11,CribTent,help,ClimbingOutOfTheCrib
12,CuttingIntoTinyPiece,help,ProneToChocking
13,DevelopementalLeap,cause,SleepRegression
14,DrawingColoring,eat,LowFatDiary
15,ExploreNewFood,help,PickyEating
16,FallingBackToSleep,help,WakingUpTooOften
17,GivingMenuChoice,help,Eating
18,GoingGroceryShopping,help,Eating
19,InappropriateNap,cause,SleepRegression
20,KeepLeadingBackToChildBed,help,WakingUpTooOften
21,KeepOfferingFoodOptions,help,PickyEating
22,KeepOfferingFoodOptions,help,RefusingFood
23,KeepingDistant,help,BedtimeCall
24,LeadingByExample,help,BadManner
25,LimitingTVTime,help,RefusingBedtime
26,NoLateNap,help,RefusingBedtime
27,PraisingPositiveBehavior,help,PottyTraining
28,PreparingTheMeal,help,PickyEating
29,PreparingTheMeal,help,PracticingFineMotorSkill
30,ReassuringCommingBack,help,AwareOfBeingAway
31,ReassuringCommingBack,help,ConditionalSeparationAnxiety
32,ReassuringOkay,help,Nightmare
33,RoutinedSleep,help,BedtimeCall
34,RoutinedSleep,help,SleepRegression
35,SeeingPediatrician,help,Illness
36,SleepingWithoutCuddling,help,BedtimeCall
37,SuggestingFact,help,Lying
38,TalkingAboutPotty,help,PottyTraining
39,ToddlerBed,help,ClimbingOutOfTheCrib
40,UnknownEnvironment,cause,SeparationAnxiety
41,WaitingChildGetUsedTo,help,PickyEating
42,WellFeedAndWellRest,help,TerribleTantrum
43,0MonthOld,do,20to40Minute
44,0MonthOld,eat,BreastMilk
45,0MonthOld,eat,FormulaMilk
46,0MonthOld,hasAge,0
47,0MonthOld,hasboyheight,19.6
48,0MonthOld,hasBoyWeight,7.4
49,0MonthOld,hasgirlheight,19.3
50,0MonthOld,hasGirlWeight,7.1
51,0MonthOld,needMilkOunce,2.0
52,0MonthOld,needMilkTime,6.0
53,1MonthOld,developeSense,DevelopedSmelling
54,1MonthOld,developeSense,FocusingOnObjectsAbout8-12Inches
55,1MonthOld,developeSense,LovingSoftThings
56,1MonthOld,developeSense,TruningHeadToTheVoice
57,1MonthOld,developeSense,WonderingAndCrossingEye
58,1MonthOld,do,JerkingAndQuiveringArms
59,1MonthOld,do,KeeningReflexes
60,1MonthOld,do,KeepingHandsTightInFists
61,1MonthOld,eat,BreastMilk
62,1MonthOld,eat,FormulaMilk
63,1MonthOld,hasAge,1
64,1MonthOld,hasBoyWeight,9.9
65,1MonthOld,hasGirlWeight,9.2
66,1MonthOld,needMilkOunce,4.0
67,1MonthOld,needMilkTime,6.0
68,1MonthOld,needSleepDuration,15.0
69,10MonthOld,developeSense,KnowingWhatToDoWithHands
70,10MonthOld,developeSense,RecognizingFamiliarSounds
71,10MonthOld,do,PickingThings
72,10MonthOld,do,SittingUpByThemselves
73,10MonthOld,do,StandingUsingFurniture
74,10MonthOld,do,StartingCrawling
75,10MonthOld,eat,Avocado
76,10MonthOld,eat,Beef
77,10MonthOld,eat,BlueBerry
78,10MonthOld,eat,Carrot
79,10MonthOld,eat,Cereal
80,10MonthOld,eat,Chicken
81,10MonthOld,eat,GreenBeans
82,10MonthOld,eat,Pasta
83,10MonthOld,eat,Peach
84,10MonthOld,eat,Potato
85,10MonthOld,eat,RiceCracker
86,10MonthOld,eat,SweetPotato
87,10MonthOld,eat,Tofu
88,10MonthOld,eat,Turkey
89,10MonthOld,eat,Water
90,10MonthOld,hasboyheight,28.9
91,10MonthOld,hasBoyWeight,20.2
92,10MonthOld,hasgirlheight,28.1
93,10MonthOld,hasGirlWeight,18.7
94,10MonthOld,needNapDuration,10.0
95,10MonthOld,needSleepDuration,11.0
96,11MonthOld,developeSense,LookingAndListeningAtTheSametime
97,11MonthOld,developeSense,SeeingClearly
98,11MonthOld,developeSense,WatchingObjectsAsTheyMove
99,11MonthOld,do,CrawlingWell
100,11MonthOld,do,Pointing
101,11MonthOld,do,StandingWithParentsHelp
102,11MonthOld,do,WalkingAroundUsingFurniture
103,11MonthOld,eat,Avocado
104,11MonthOld,eat,Banana
105,11MonthOld,eat,Beef
106,11MonthOld,eat,BlueBerry
107,11MonthOld,eat,BreastMilk
108,11MonthOld,eat,Carrot
109,11MonthOld,eat,Cereal
110,11MonthOld,eat,Chicken
111,11MonthOld,eat,FormulaMilk
112,11MonthOld,eat,GreenBeans
113,11MonthOld,eat,Pasta
114,11MonthOld,eat,Peach
115,11MonthOld,eat,Potato
116,11MonthOld,eat,RiceCracker
117,11MonthOld,eat,SweetPotato
118,11MonthOld,eat,Tofu
119,11MonthOld,eat,Turkey
120,11MonthOld,eat,Water
121,11MonthOld,hasAge,11
122,11MonthOld,hasboyheight,29.3
123,11MonthOld,hasBoyWeight,20.8
124,11MonthOld,hasgirlheight,28.7
125,11MonthOld,hasGirlWeight,19.2
126,11MonthOld,needMealTime,3.0
127,11MonthOld,needNapDuration,3.0
128,11MonthOld,needSleepDuration,10.0
129,11MonthOld,needSnackTime,3.0
130,12MonthOld,developeSense,AccurateHearing
131,12MonthOld,developeSense,FeelingObjectsWithMouth
132,12MonthOld,developeSense,LookingAndListeningAtTheSametime
133,12MonthOld,do,One-StepCommands
134,12MonthOld,do,SayingAtLeat1Words
135,12MonthOld,do,SayingMomAndDad
136,12MonthOld,do,SittingLongPeriodTime
137,12MonthOld,do,StandingFewMomentsByThemselves
138,12MonthOld,do,TakingAFewStepsOnThemselves
139,12MonthOld,eat,Avocado
140,12MonthOld,eat,Banana
141,12MonthOld,eat,Beef
142,12MonthOld,eat,BlueBerry
143,12MonthOld,eat,BreastMilk
144,12MonthOld,eat,Carrot
145,12MonthOld,eat,FormulaMilk
146,12MonthOld,eat,GreenBeans
147,12MonthOld,eat,Pasta
148,12MonthOld,eat,Peach
149,12MonthOld,eat,Potato
150,12MonthOld,eat,RegularMilk
151,12MonthOld,eat,RiceCracker
152,12MonthOld,eat,SweetPotato
153,12MonthOld,eat,Tofu
154,12MonthOld,eat,Turkey
155,12MonthOld,eat,Water
156,12MonthOld,hasAge,12
157,12MonthOld,hasboyheight,29.8
158,12MonthOld,hasBoyWeight,21.3
159,12MonthOld,hasgirlheight,29.1
160,12MonthOld,hasGirlWeight,21.9
161,12MonthOld,needMealTime,3.0
162,12MonthOld,needMilkCup,3.0
163,12MonthOld,needSleepDuration,10.0
164,12MonthOld,needSnackTime,3.0
165,13MonthOld,act,ColoringWithCrayons
166,13MonthOld,act,PassingBall
167,13MonthOld,act,PlayingPeekABoo
168,13MonthOld,act,SimpleChores
169,13MonthOld,do,SayingAtLeat1Words
170,13MonthOld,do,WalkingAroundUsingFurniture
171,13MonthOld,eat,Banana
172,13MonthOld,eat,Beef
173,13MonthOld,eat,Broccoli
174,13MonthOld,eat,Cereal
175,13MonthOld,eat,Pasta
176,13MonthOld,eat,Peach
177,13MonthOld,eat,PintoBean
178,13MonthOld,eat,Prune
179,13MonthOld,eat,Tofu
180,13MonthOld,eat,Water
181,13MonthOld,eat,WholeMilk
182,13MonthOld,hasboyheight,30.3
183,13MonthOld,hasBoyWeight,21.8
184,13MonthOld,hasgirlheight,29.6
185,13MonthOld,hasGirlWeight,20.2
186,13MonthOld,needMealTime,3.0
187,13MonthOld,needMilkCup,3.0
188,13MonthOld,needSleepDuration,11.0
189,13MonthOld,needSnackTime,3.0
190,14MonthOld,act,PlayingPattyCake
191,14MonthOld,act,PushingToy
192,14MonthOld,act,ShapeSorting
193,14MonthOld,act,StackingBlocks
194,14MonthOld,do,NotYet
195,14MonthOld,do,SayingMomAndDad
196,14MonthOld,do,TakingAFewStepsOnThemselves
197,14MonthOld,do,TeethingFirstMolar
198,14MonthOld,do,WalkingWell
199,14MonthOld,eat,BreastMilk
200,14MonthOld,eat,CherryTomato
201,14MonthOld,eat,FormulaMilk
202,14MonthOld,eat,Grape
203,14MonthOld,eat,HotDog
204,14MonthOld,eat,SaultySnack
205,14MonthOld,eat,Water
206,14MonthOld,eat,WholeMilk
207,14MonthOld,hasAge,14
208,14MonthOld,hasboyheight,30.7
209,14MonthOld,hasBoyWeight,22.3
210,14MonthOld,hasgirlheight,30.1
211,14MonthOld,hasGirlWeight,20.7
212,14MonthOld,needMealTime,3.0
213,14MonthOld,needMilkCup,3.0
214,14MonthOld,needNapDuration,1.0
215,14MonthOld,needSleepDuration,11.0
216,14MonthOld,needSnackTime,2.0
217,15MonthOld,act,BouncingBall
218,15MonthOld,act,ColoringWithCrayons
219,15MonthOld,act,ReadingBook
220,15MonthOld,act,RollingBall
221,15MonthOld,do,Identification
222,15MonthOld,do,SayingAtLeat1Words
223,15MonthOld,do,TakingAFewStepsOnThemselves
224,15MonthOld,do,TeethingFirstMolar
225,15MonthOld,eat,BreastMilk
226,15MonthOld,eat,Diary
227,15MonthOld,eat,FormulaMilk
228,15MonthOld,eat,Fruit
229,15MonthOld,eat,Grain
230,15MonthOld,eat,Protein
231,15MonthOld,eat,Snack
232,15MonthOld,eat,Vegetable
233,15MonthOld,eat,Water
234,15MonthOld,eat,WholeMilk
235,15MonthOld,hasAge,15
236,15MonthOld,hasboyheight,31.2
